,GRID_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,FGA,FGM,FG_PCT
0,League Averages,Above the Break 3,Center(C),24+ ft.,3,3,1.0
1,League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,7,7,1.0
2,League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,6,6,1.0
3,League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,3,3,1.0
4,League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,3,3,1.0
5,League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,1,1,1.0
6,League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,1,1,1.0
7,League Averages,Left Corner 3,Left Side(L),24+ ft.,10,10,1.0
8,League Averages,Mid-Range,Center(C),8-16 ft.,2,2,1.0
9,League Averages,Mid-Range,Left Side(L),8-16 ft.,4,4,1.0
10,League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,3,3,1.0
11,League Averages,Restricted Area,Center(C),Less Than 8 ft.,32,32,1.0
12,League Averages,Right Corner 3,Right Side(R),24+ ft.,3,3,1.0
13,League Averages,Above the Break 3,Center(C),24+ ft.,3,3,1.0
14,League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,7,7,1.0
15,League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,6,6,1.0
16,League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,3,3,1.0
17,League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,3,3,1.0
18,League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,1,1,1.0
19,League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,1,1,1.0
20,League Averages,Left Corner 3,Left Side(L),24+ ft.,10,10,1.0
21,League Averages,Mid-Range,Center(C),8-16 ft.,2,2,1.0
22,League Averages,Mid-Range,Left Side(L),8-16 ft.,4,4,1.0
23,League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,3,3,1.0
24,League Averages,Restricted Area,Center(C),Less Than 8 ft.,32,32,1.0
25,League Averages,Right Corner 3,Right Side(R),24+ ft.,3,3,1.0
26,League Averages,Above the Break 3,Center(C),24+ ft.,3,3,1.0
27,League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,7,7,1.0
28,League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,6,6,1.0
29,League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,3,3,1.0
30,League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,3,3,1.0
31,League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,1,1,1.0
32,League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,1,1,1.0
33,League Averages,Left Corner 3,Left Side(L),24+ ft.,10,10,1.0
