,GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
0,0042400403,2,12,0,1,8:39 PM,12:00,,Start of 1st Period (8:39 PM EST),,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0
1,0042400403,4,10,0,1,8:39 PM,12:00,Jump Ball Turner vs. Holmgren: Tip to Wallace,,,,,4,1626167,Myles Turner,1610612754.0,Indiana,Pacers,IND,5,1631096,Chet Holmgren,1610612760.0,Oklahoma City,Thunder,OKC,5,1641717,Cason Wallace,1610612760.0,Oklahoma City,Thunder,OKC,1
2,0042400403,7,6,4,1,8:39 PM,11:52,,,Gilgeous-Alexander OFF.Foul (P1) (J.Capers),,,5,1628983,Shai Gilgeous-Alexander,1610612760.0,Oklahoma City,Thunder,OKC,4,1629614,Andrew Nembhard,1610612754.0,Indiana,Pacers,IND,1,0,,,,,,1
3,0042400403,9,5,37,1,8:39 PM,11:52,,,Gilgeous-Alexander Offensive Foul Turnover (P1.T1),,,5,1628983,Shai Gilgeous-Alexander,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,1,0,,,,,,1
4,0042400403,10,6,1,1,8:39 PM,11:39,,,Dort P.FOUL (P1.T1) (T.Brothers),,,5,1629652,Luguentz Dort,1610612760.0,Oklahoma City,Thunder,OKC,4,1627783,Pascal Siakam,1610612754.0,Indiana,Pacers,IND,1,0,,,,,,1
5,0042400403,12,2,1,1,8:40 PM,11:30,MISS Nembhard 3PT Jump Shot,,Wallace BLOCK (1 BLK),,,4,1629614,Andrew Nembhard,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,5,1641717,Cason Wallace,1610612760.0,Oklahoma City,Thunder,OKC,1
6,0042400403,14,4,0,1,8:40 PM,11:25,,,Gilgeous-Alexander REBOUND (Off:0 Def:1),,,5,1628983,Shai Gilgeous-Alexander,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,,1
7,0042400403,15,2,102,1,8:40 PM,11:17,,,MISS Gilgeous-Alexander 7' Driving Floating Bank Jump Shot,,,5,1628983,Shai Gilgeous-Alexander,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,,1
8,0042400403,16,4,0,1,8:40 PM,11:15,Nesmith REBOUND (Off:0 Def:1),,,,,4,1630174,Aaron Nesmith,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,1
9,0042400403,17,2,71,1,8:40 PM,11:05,MISS Turner 6' Finger Roll Layup,,,,,4,1626167,Myles Turner,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,1
10,0042400403,18,4,0,1,8:40 PM,11:02,,,Holmgren REBOUND (Off:0 Def:1),,,5,1631096,Chet Holmgren,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,,1
11,0042400403,19,1,58,1,8:40 PM,10:56,,,Holmgren 4' Turnaround Hook Shot (2 PTS),2 - 0,-2,5,1631096,Chet Holmgren,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,,1
12,0042400403,20,5,2,1,8:40 PM,10:49,Nembhard Lost Ball Turnover (P1.T1),,Wallace STEAL (1 STL),,,4,1629614,Andrew Nembhard,1610612754.0,Indiana,Pacers,IND,5,1641717,Cason Wallace,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,1
13,0042400403,22,2,50,1,8:40 PM,10:45,Turner BLOCK (1 BLK),,MISS Wallace 5' Running Dunk,,,5,1641717,Cason Wallace,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,4,1626167,Myles Turner,1610612754.0,Indiana,Pacers,IND,1
14,0042400403,23,4,0,1,8:40 PM,10:42,,,Jal. Williams REBOUND (Off:1 Def:0),,,5,1631114,Jalen Williams,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,,1
15,0042400403,25,1,72,1,8:40 PM,10:42,,,Jal. Williams 3' Putback Layup (2 PTS),4 - 0,-4,5,1631114,Jalen Williams,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,,1
16,0042400403,26,1,85,1,8:41 PM,10:31,Siakam 12' Turnaround Bank Shot (2 PTS),,,4 - 2,-2,4,1627783,Pascal Siakam,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,1
17,0042400403,27,1,79,1,8:41 PM,10:15,,,Jal. Williams 9' Pullup Jump Shot (4 PTS),6 - 2,-4,5,1631114,Jalen Williams,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,,1
18,0042400403,28,1,63,1,8:41 PM,9:59,Siakam 13' Fadeaway Jumper (4 PTS),,,6 - 4,-2,4,1627783,Pascal Siakam,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,1
19,0042400403,29,6,1,1,8:41 PM,9:51,Nesmith P.FOUL (P1.T1) (T.Ford),,,,,4,1630174,Aaron Nesmith,1610612754.0,Indiana,Pacers,IND,5,1631114,Jalen Williams,1610612760.0,Oklahoma City,Thunder,OKC,1,0,,,,,,1
20,0042400403,31,1,108,1,8:42 PM,9:45,,,Holmgren 3' Cutting Dunk Shot (4 PTS) (Jal. Williams 1 AST),8 - 4,-4,5,1631096,Chet Holmgren,1610612760.0,Oklahoma City,Thunder,OKC,5,1631114,Jalen Williams,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,1
21,0042400403,33,2,86,1,8:42 PM,9:28,MISS Siakam 13' Turnaround Fadeaway Shot,,,,,4,1627783,Pascal Siakam,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,1
22,0042400403,34,4,0,1,8:42 PM,9:25,,,Holmgren REBOUND (Off:0 Def:2),,,5,1631096,Chet Holmgren,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,,1
23,0042400403,35,6,2,1,8:42 PM,9:17,Turner S.FOUL (P1.T2) (T.Brothers),,,,,4,1626167,Myles Turner,1610612754.0,Indiana,Pacers,IND,5,1631096,Chet Holmgren,1610612760.0,Oklahoma City,Thunder,OKC,1,0,,,,,,1
24,0042400403,37,3,11,1,8:43 PM,9:17,,,Holmgren Free Throw 1 of 2 (5 PTS),9 - 4,-5,5,1631096,Chet Holmgren,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,,1
25,0042400403,38,3,12,1,8:43 PM,9:17,,,Holmgren Free Throw 2 of 2 (6 PTS),10 - 4,-6,5,1631096,Chet Holmgren,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,,1
26,0042400403,40,1,86,1,8:44 PM,9:01,Siakam 13' Turnaround Fadeaway (6 PTS),,,10 - 6,-4,4,1627783,Pascal Siakam,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,1
27,0042400403,41,1,1,1,8:44 PM,8:49,,,Dort 3PT Jump Shot (3 PTS) (Wallace 1 AST),13 - 6,-7,5,1629652,Luguentz Dort,1610612760.0,Oklahoma City,Thunder,OKC,5,1641717,Cason Wallace,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,1
28,0042400403,43,6,4,1,8:44 PM,8:35,Nembhard OFF.Foul (P1) (T.Ford),,,,,4,1629614,Andrew Nembhard,1610612754.0,Indiana,Pacers,IND,5,1629652,Luguentz Dort,1610612760.0,Oklahoma City,Thunder,OKC,1,0,,,,,,1
29,0042400403,45,5,37,1,8:44 PM,8:35,Nembhard Offensive Foul Turnover (P2.T2),,,,,4,1629614,Andrew Nembhard,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,1,0,,,,,,1
30,0042400403,46,2,98,1,8:45 PM,8:16,,,MISS Dort 4' Cutting Layup Shot,,,5,1629652,Luguentz Dort,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,,1
