GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0042400407,1610612754,IND,Indiana,1630174,Aaron Nesmith,Aaron,F,,30.000000:28,0.532,0.383,0.204,0.333,0.418,0.291,0.086,0.281
0042400407,1610612754,IND,Indiana,1627783,Pascal Siakam,Pascal,F,,36.000000:55,0.466,0.362,0.208,0.294,0.425,0.373,0.093,0.278
0042400407,1610612754,IND,Indiana,1626167,Myles Turner,Myles,C,,23.000000:49,0.554,0.216,0.22,0.25,0.542,0.167,0.022,0.318
0042400407,1610612754,IND,Indiana,1629614,Andrew Nembhard,Andrew,G,,36.000000:41,0.519,0.407,0.241,0.345,0.463,0.373,0.068,0.27
0042400407,1610612754,IND,Indiana,1630169,Tyrese Haliburton,Tyrese,G,,7.000000:05,0.583,0.167,0.084,0.286,0.727,0.182,0.0,0.0
0042400407,1610612754,IND,Indiana,1631097,Bennedict Mathurin,Bennedict,,,33.000000:23,0.426,0.574,0.262,0.379,0.492,0.383,0.104,0.323
0042400407,1610612754,IND,Indiana,1630167,Obi Toppin,Obi,,,20.000000:33,0.482,0.464,0.343,0.385,0.515,0.5,0.096,0.25
0042400407,1610612754,IND,Indiana,1641767,Ben Sheppard,Ben,,,16.000000:13,0.357,0.714,0.285,0.333,0.397,0.483,0.117,0.313
0042400407,1610612754,IND,Indiana,204456,T.J. McConnell,T.J.,,,28.000000:05,0.513,0.289,0.274,0.15,0.423,0.404,0.069,0.233
0042400407,1610612754,IND,Indiana,1628396,Tony Bradley,Tony,,,5.000000:12,0.5,0.8,0.307,0.0,0.409,0.364,0.093,0.429
0042400407,1610612754,IND,Indiana,1628418,Thomas Bryant,Thomas,,,1.000000:04,0.5,1.0,0.347,1.0,1.0,0.0,0.5,0.0
0042400407,1610612754,IND,Indiana,1642277,Johnny Furphy,Johnny,,,0.000000:32,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
0042400407,1610612754,IND,Indiana,1630543,Isaiah Jackson,Isaiah,,DND - Injury/Illness,,,,,,,,,
0042400407,1610612754,IND,Indiana,201949,James Johnson,James,,DNP - Coach's Decision,,,,,,,,,
0042400407,1610612754,IND,Indiana,1641716,Jarace Walker,Jarace,,DND - Injury/Illness,,,,,,,,,
0042400407,1610612760,OKC,Oklahoma City,1631114,Jalen Williams,Jalen,F,,38.000000:12,0.507,0.426,0.066,0.278,0.509,0.455,0.257,0.367
0042400407,1610612760,OKC,Oklahoma City,1631096,Chet Holmgren,Chet,F,,31.000000:17,0.464,0.393,0.064,0.25,0.5,0.286,0.233,0.333
0042400407,1610612760,OKC,Oklahoma City,1628392,Isaiah Hartenstein,Isaiah,C,,18.000000:13,0.516,0.281,0.118,0.375,0.5,0.462,0.15,0.188
0042400407,1610612760,OKC,Oklahoma City,1629652,Luguentz Dort,Luguentz,G,,35.000000:13,0.469,0.391,0.057,0.257,0.549,0.333,0.263,0.32
0042400407,1610612760,OKC,Oklahoma City,1628983,Shai Gilgeous-Alexander,Shai,G,,40.000000:11,0.446,0.338,0.075,0.275,0.508,0.356,0.246,0.313
0042400407,1610612760,OKC,Oklahoma City,1627936,Alex Caruso,Alex,,,32.000000:25,0.426,0.311,0.076,0.257,0.455,0.523,0.269,0.308
0042400407,1610612760,OKC,Oklahoma City,1641717,Cason Wallace,Cason,,,26.000000:03,0.459,0.286,0.115,0.333,0.434,0.5,0.244,0.25
0042400407,1610612760,OKC,Oklahoma City,1629026,Kenrich Williams,Kenrich,,,4.000000:37,0.375,0.25,0.202,0.333,0.375,0.25,0.202,0.2
0042400407,1610612760,OKC,Oklahoma City,1630598,Aaron Wiggins,Aaron,,,12.000000:12,0.478,0.435,0.039,0.3,0.382,0.353,0.338,0.4
0042400407,1610612760,OKC,Oklahoma City,1641794,Dillon Jones,Dillon,,,0.000000:32,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
0042400407,1610612760,OKC,Oklahoma City,1642349,Ajay Mitchell,Ajay,,,0.000000:32,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
0042400407,1610612760,OKC,Oklahoma City,1631172,Ousmane Dieng,Ousmane,,,0.000000:32,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
0042400407,1610612760,OKC,Oklahoma City,1630198,Isaiah Joe,Isaiah,,DNP - Coach's Decision,,,,,,,,,
0042400407,1610612760,OKC,Oklahoma City,1631119,Jaylin Williams,Jaylin,,DNP - Coach's Decision,,,,,,,,,
