,Date,followers,followers.1,following,following.1,media count,media count.1
0,Tue2025-05-20,2043.0,3323293.0,--,380.0,11.0,23040.0
1,Wed2025-05-21,797.0,3324090.0,--,380.0,6.0,23046.0
2,Thu2025-05-22,22835.0,3346925.0,--,380.0,58.0,23104.0
3,Fri2025-05-23,6474.0,3353399.0,--,380.0,6.0,23110.0
4,Sat2025-05-24,13137.0,3366536.0,--,380.0,55.0,23165.0
5,Sun2025-05-25,4574.0,3371110.0,--,380.0,7.0,23172.0
6,Mon2025-05-26,4343.0,3375453.0,--,380.0,33.0,23205.0
7,Tue2025-05-27,1399.0,3376852.0,--,380.0,7.0,23212.0
8,Wed2025-05-28,4037.0,3380889.0,--,380.0,48.0,23260.0
9,Thu2025-05-29,7314.0,3388203.0,--,380.0,19.0,23279.0
10,Fri2025-05-30,4401.0,3392604.0,--,380.0,14.0,23293.0
11,Sat2025-05-31,2141.0,3394745.0,--,380.0,3.0,23296.0
12,Sun2025-06-01,16321.0,3411066.0,--,380.0,92.0,23388.0
13,Mon2025-06-02,7633.0,3418699.0,--,380.0,9.0,23397.0
14,,,,,,,
