TEAM,HOME_ATT,HOME_AVG,ROAD_ATT,ROAD_AVG
Boston Celtics,114936,19156,97476,19495
Cleveland Cavaliers,97160,19432,73748,18437
Denver Nuggets,139948,19993,126593,18085
Detroit Pistons,60186,20062,59436,19812
Golden State Warriors,90320,18064,129816,18545
Houston Rockets,72220,18055,54192,18064
Indiana Pacers,138192,17274,153529,19191
Los Angeles Clippers,53781,17927,79962,19991
Los Angeles Lakers,56991,18997,38601,19301
Memphis Grizzlies,33516,16758,36406,18203
Miami Heat,39200,19600,38864,19432
Milwaukee Bucks,35797,17899,51822,17274
Minnesota Timberwolves,134559,19223,147728,18466
New York Knickerbockers,178308,19812,169476,18831
Oklahoma City Thunder,163827,18203,131864,18838
Orlando Magic,38040,19020,57468,19156
